105 m
192 8
142 3 12296633722665284534590287581492315969865760725
142 2 -8340360185481772403112387092955885819951232635627
142 1 -954162996358640580781546281820032685115442368424517
142 0 -745822009290315729879174456242796364444901906019729924
141 6 -3772849167240413732836384440432775
141 5 3340992737849528406887091438694347421181
141 4 -23595904580296069282722027857273550717669092
141 3 51019431129337976393690824800930636773789895531
141 2 -34694736063627454387236565065553846168719900366284
141 1 -4206121409128087978752521213970948452233408869192705
141 0 -3487898497404374288640201843930644528265610970270517200
140 6 -11875938673555407796478061262923330
140 5 12500585125413918196773228626170412328333
140 4 -92176476093028272910898016867703611048048210
140 3 206004912020030459311175459837516270441401490506
140 2 -141369719234162563798222197001330076677090816468409
140 1 -15836341011843038780072389615965299305120818495892974
140 0 -12464747583562462464029121611729740294646112966432833190
139 6 -35987064026700518002476638460677160
139 5 45126479005938341862387991473934451152281
139 4 -347868351099257997001669599631925873721170854
139 3 808433236562231827396640060072625183908458677587
139 2 -566679996770175646907799669902230902269280582466839
139 1 -50071050550503660473952064543511816180594898121921481
139 0 -31913675188881912316362117526285664181825708523838971128
138 6 -104981326960437207532710340367759960
138 5 157209207584079618007164645223605727434879
138 4 -1268519444172582778233651300308672901572026572
138 3 3078553566098439632612305280776383596381156376117
138 2 -2241795589750700891869687239193171232061038787659727
138 1 -115088137511175714414919330296928852683233471771975825
138 0 -31916287398821635019894275848700591333127309219317009272
137 6 -294816144578618757865010886960445278
137 5 528628377516841169200380766738888145628289
137 4 -4470915170169225852764950985642241121849296718
137 3 11356500664609130107767389638509457290606934246094
137 2 -8751956218634574264096326486543261216612386103433632
137 1 -17233875242372734949673819685517748170892368170591598
137 0 232006088786663567764792401969258560320827313777310853480
136 6 -796948360938015370189590773485268400
136 5 1715978516364767582016610572777727197327205
136 4 -15236226709425377004071200855278782801708667487
136 3 40514579105426401449601936124105226880764419874594
136 2 -33586091927224876696570302776814052679887568713199589
136 1 1959481390117112353876742718667036494244490451808747112
136 0 1889594747292359826456489181148509945640161563549154220895
135 6 -2073457754037041854783153466203925295
135 5 5377844958024467670661546139231310819123432
135 4 -50225111012783126281900897718336892258362462266
135 3 139570993618402087701874733425391561714935373099893
135 2 -125850164349257983005158057693331021234749828105851814
135 1 16056339311679737996640471457051102011511027324968892425
135 0 8819852697995175178605903196436194155019366488794636543784
134 6 -5191265706942910992953742821044284735
134 5 16273089588580343896662811041135945706896820
134 4 -160216160729139098172269689684834522743091685119
134 3 463733449979440374266033059938184588939045130962672
134 2 -456993203343527146127799402389946338694164023610480548
134 1 92849671893626983084805926073281391342983471067990720083
134 0 31010102555160461501610550035270945565713043038166367246616
133 6 -12504669689321600038730859197791436655
133 5 47545791863881666684565940453836470878423737
133 4 -494762256381528688867880178456696292579881195740
133 3 1484791070414106005225997953862432768378772645752559
133 2 -1597218220966285040645334813930790414347834372238749179
133 1 450577783452741223101673468867923711852613908338262990906
133 0 84006021323043510016630754285775844230873242204659634672184
132 6 -28972169062719861836803437128196200942
132 5 134132769010714727247459562749930589586290206
132 4 -1479537549857682014295324359976897460124394642626
132 3 4579362629145630432613713609568610230657988362259211
132 2 -5344483498523352867377600818370037565644739447908472747
132 1 1929339695888796749881645160326551916761238281577353332928
132 0 152684406362506412811150091043538302530670514606858279453866
131 6 -64546062345729791257699000020956195220
131 5 365363131131065567833334789375399734463887037
131 4 -4285411301215608758202467171592478738127449009620
131 3 13604969866141459351010544777551306035440440168048428
131 2 -17057263702910995519384916958559230724086876791787071887
131 1 7440275134891274495219052351991613561880580682041202299891
131 0 2271204798627462494175822185353288279925933780458881830400
130 6 -138226042491990551212005973747589613270
130 5 960846843259989365946665990446694225661100556
130 4 -12024140285093271445996995848909064496301454314098
130 3 38952115865449414737417333664813276640132749060773992
130 2 -51798170276849418752136281363345396798291086786440375238
130 1 26094512007673742726169212135242147299747658674663861967562
130 0 -1488427293709895954930117884710674868435556018793180238126540
129 6 -284429147345714843778182034817160263545
129 5 2439396911109761835349181453122460920065598831
129 4 -32683557416473968621666672869629587349505633405111
129 3 107556628045360851007676648808743245760202708536097067
129 2 -149437516626628707222917402189146122239437230745272441625
129 1 83627386431502906892542135881062384099702397876620106848275
129 0 -8140297109072524895164913498993420950006570203916624186324968
128 6 -562129559820000788434805483108278598895
128 5 5977998391202546896214400706320855131335783169
128 4 -86060239373800191479482349548465970033948434430420
128 3 286705166651453045573744932932600984748522630854346506
128 2 -409201719504064400540540485541618398266941820729813790293
128 1 245298132413013678523913600225298495726064282221291585035264
128 0 -30187567162547580395883218152666203628964998765681008149312232
127 6 -1066527429064156418064590346825894581715
127 5 14138634804444080239952930716636746947877631347
127 4 -219498043307989364798802038736069000598549597835434
127 3 738515393216586433448083973514023389134037836028798509
127 2 -1062887542460229879715150971976321235958607936480672587054
127 1 657822496989675462968477857811990796362179835690055285106952
127 0 -88603866294378383502109214381831835607975444153036078607323560
126 6 -1941588397782143239408298768400720143705
126 5 32266973445921974311123413829661811074382931939
126 4 -542190749911712206877640603157247183456143962316432
126 3 1839812585248375667889321642007464868845587445658572818
126 2 -2617737511007591552381879768291429716250307102845292353238
126 1 1605632808578080883889533098622817247747341265730577768047471
126 0 -208858212604714747913510413351979105532314465304144353963752980
125 6 -3389604332688295759990497423233906694843
125 5 71042188773311900567781790992409662686127226913
125 4 -1296868062249430510833820565210020447230544003927828
125 3 4435007709938751988510135211194139405139947027901056555
125 2 -6110849309038427011574411277184823216919936794376994627899
125 1 3531532095651135632037389772292920303791921653307222166484513
125 0 -361726335462066251118143509535327197110186020669989185412481856
124 7 -105
124 6 -5671336790875348328903297766957834310112
124 5 150861281822815414019810105143730403723602826749
124 4 -3003231058731732407958509721215114010747560209300716
124 3 10345057371612768299079358227328265933368171392715141592
124 2 -13515967378021763698408205606472848111438684809527925453360
124 1 6851938423639865694355832974602341975210105479030970471656938
124 0 -231934560124149053221828359479340500365561291155949686444123114
123 7 -53585
123 6 -9088346611577853416801185966699340244079
123 5 308906128489523113013521716139499176627475743770
123 4 -6732271781081072996972718461185427477752827180104120
123 3 23338213032380382457817853708174208894704774631987045947
123 2 -28307657692632968356421449259453834949812716524377896765580
123 1 11146019977693237598865618187350500384015983475957473758934711
123 0 1456960570170816096712800806521732096800370844968484161288974904
122 7 -9100896
122 6 -13939463083080268217162261496482404130968
122 5 609725697369257608446535134665111259198083823596
122 4 -14606680616944070524049200691495581163136814511129039
122 3 50868779536320381135149357624409740415337077590460521597
122 2 -56073204143323645075964031308372140986927937000899897061961
122 1 12863275554065102340685039921270154884052946743472911959579217
122 0 8565213899517523378147955197031769429879805346786836833091465896
121 7 -795453030
121 6 -20447852059643460603804882415793471565650
121 5 1159743382809531222604199769763603419282243678423
121 4 -30669134776479623347305691922417544256505346619715199
121 3 106965434478158788598359391772202852058183537312334309941
121 2 -104778779082337297501887535706130874624786542417044609943269
121 1 57105126695764130676002693980189226202018742545727313909832
121 0 30821197845287047194783047911346641197057362320389213779201317800
120 7 -43098134135
120 6 -28664765711483697459275330839290217700441
120 5 2124991919319184195357482984243191913129887064110
120 4 -62309970076174912038731164203431822784922949643802240
120 3 216596396081397414580894030900749669292989938595767359527
120 2 -183640164488832983096126378817887367999753317677803063140180
120 1 -58173964952957649124412136018043032802489589629860287999174492
120 0 89325111411841016809561105658876977420868092008877817497485281305
119 7 -1604792296380
119 6 -38369512603608496369129367421699312971060
119 5 3749364672671327569140025252032908151740317195623
119 4 -122479341204310837913492992663894516316035284026852693
119 3 421465026912688671824742235084327436870317119086394834483
119 2 -298067733378679219554161237447054166840142192833532191421455
119 1 -230964186678066200958166269153198480926574132246779369259419821
119 0 223580375015657582166537817039732773795742438427249422493306602152
118 7 -43836862381305
118 6 -48998051101350896461059286985933165416586
118 5 6367790666897917070244699207835453938615968704050
118 4 -232890117799718318158889367519866419117611922897709306
118 3 786225087031617335564806532411294181715256334362793424508
118 2 -434968159236170596433447519257179830954298327839245064019092
118 1 -659087812558975084357960793422669717159211534523830094331189925
118 0 495964687503186286560201792504165028406278499104394996558880517848
117 7 -918680968423099
117 6 -59637925242063891739314186817982785648858
117 5 10405548892800418786925798657001389674935195978245
117 4 -428290990677113327592310316331029712107028966546863595
117 3 1402265031088106920053873349645631219285388205133987791614
117 2 -526408469037351220425573804149009024590740535268936419351292
117 1 -1612459009791389393417756123412590996501108872401466987976051156
117 0 983220778700476547542984830400467673090767265095487382408825753992
116 7 -15257486611136910
116 6 -69118278913819256370090576709903751155311
116 5 16352705854587798446032780750993607116330760004870
116 4 -761587465415641153789939656929322508923155568614376051
116 3 2383360228776835108978191560982394675440351443585537584012
116 2 -368788133763467547868906168666494449113944931855902565652141
116 1 -3591939644292999362984196813812385444991045406004784971950391420
116 0 1736232058961591398967671097097725696114290075489668912561486692310
115 7 -205782413347469175
115 6 -76198112175978787781565289179430384735812
115 5 24703298275491778228641142821233888336478389053923
115 4 -1309057389410331065203992881040819831184281159744428884
115 3 3843899770736766498293914124820176344135961354447373412373
115 2 541135893023448589428774050332485313305359972018707367100444
115 1 -7515123055519746044490730820011579676601538285100710714911788981
115 0 2683981062168846538777424637960133197833027869030265991011654433840
114 7 -2297053752463487065
114 6 -79819558873818999877886081019992741848381
114 5 35854387371227561660554955896156129822768060719512
114 4 -2174152837356249458031993203072698988917541219367969132
114 3 5847005386412035333607455566878968267309931702150228340227
114 2 3309893262579404746847652146671247919357686667228121067190357
114 1 -15054446267342748846446662954882592564754418846141508041948647960
114 0 3465775549883792360619589077167023833724950222593301067691917029604
113 7 -21542443414688637315
113 6 -79359660915456291001780504637144701842083
113 5 49971487543138327535637707414049267561854179197597
113 4 -3487529972575983916370242503447096436717858547468258976
113 3 8308421392012105026807079810823698354626508360855142360434
113 2 10159006789714851544785682042699267336605662633401979703741762
113 1 -29223517308565040804105827455062666181246799032676581172228911647
113 0 3212141045839654546355443579716158780384777424066582382977693382296
112 7 -171805146262809635373
112 6 -74800743392387909600809161376638775111443
112 5 66842815515355889600194277184039323210168234914739
112 4 -5400308328838251120078205532203404314920647730245734262
112 3 10844895517240131076955763170397084994494427783428662575987
112 2 25206048677277405768340704983950588751159139862225876637272307
112 1 -55306020170137442771987055291105695673003261266961214124401584124
112 0 369126875620195057232576344966245913162462547134755916807989995514
111 7 -1176748788623615796400
111 6 -66756997384211238889094740101868682501079
111 5 85760834900777026717714199721399694527717287921051
111 4 -8067609459173487884729342348549857366861717464296073880
111 3 12565112335768668638606291090151572423533813545322407680918
111 2 55536892028698467988174479879069964907121533643775404153354017
111 1 -102145726077043203790107773405936116788517484849985151098452567622
111 0 -7238132183287116388091998913332678791894881599053573409042666151080
110 7 -6978614346819984907080
110 6 -56340508151329036444415503144087442467974
110 5 105478508308434747789124594562171873152346618923685
110 4 -11620696176904847306935718007839320232113961392313426454
110 3 11818157963052665550462495779787451212819563884320184920695
110 2 112514073039880482076368736980440976923304252939361471566216000
110 1 -183620671053838799240337065696642735599589602928876939283640786209
110 0 -21829512816917757979842096062963030953422803026461734159863513928580
109 7 -36075957230346853373085
109 6 -44906141577707476420696356709326045898845
109 5 124282021754411061079686363691318956917553708408677
109 4 -16128860764832383382946745162864877603960548795748401944
109 3 5937922687170585807065423809947238896724636780478184735820
109 2 213163089871062851583990992275592014939783557695044989578768844
109 1 -319802783597181322937802051967857024377320610082769847123093050605
109 0 -44348428648853086519708611888572163637725987767011528779744080977392
108 7 -163478511832627254820445
108 6 -33756693054685455134821609515720616502136
108 5 140197583348125163228325621939231197884488485364204
108 4 -21556386619482405066712393421835962829142908663310881898
108 3 -8951879458161072204497700921341105634880744806802584586755
108 2 381377723710232897676453245379737392897999552108700733957368799
108 1 -536936492913722368030065400132782730438614699481847717535232648750
108 0 -72421699405814264320871080606194577042662960137412221506907222442478
107 7 -652405913937947752018638
107 6 -23898595477908779920345758822192506132327
107 5 151310564239579686991708218136477134541597493078153
107 4 -27724425852047150905706795648808702441106661753755302248
107 3 -37984321591609476080614181838547555255702912599384798742173
107 2 648620850933566511853463432633190044729623068208051717468324311
107 1 -865148243245793023497734478620973373607083108382975663291097008401
107 0 -98143040462335457448825897415229210179093221128972068599911864659224
106 7 -2301775036027461738432885
106 6 -15911616456356654304480461633626286284693
106 5 156132522447070559836910079690934931838165938091528
106 4 -34290730936221678591030021798824576697912332744362253602
106 3 -87347734683908776064325872145971512027055144559363525049442
106 2 1053786936388429071767660273877107205249733158399028710349848305
106 1 -1332985707926825639384382463609575616517182547054610339895661822749
106 0 -106861099317837021615669549505797251466119592779683918243800960191160
105 7 -7202299849950722339232620
105 6 -9948092734447934401317114804443683362540
105 5 153922566889444863039851980894840311324627062645175
105 4 -40759836401679520080546660397661048085399631864999030288
105 3 -163744539393651132464387834107009060225552374927711580259083
105 2 1641923559060480418705013403237927688527225911722920094704187854
105 1 -1958684506348360594123709607165865250172713752767109839995006120954
105 0 -78566864997643077144605900981862173560035467957389048682973651811416
104 7 -20038195699350774484009905
104 6 -5831594870618764803456657598593262427330
104 5 144869225937957823863654851828928973016544730867563
104 4 -46531156849952915366949080582967136528913414907515242189
104 3 -273457444695984639416577650361739627538041310663308590192376
104 2 2461544906670186654222331833717199848115151774519320406106872611
104 1 -2739437215546076527872059555041426110433909018715710071553990201460
104 0 6811366214435599851479407351528781534095644282854045971363818125043
103 7 -49671874930017726136266285
103 6 -3200226139552497958923320103958636078824
103 5 130072657870819840174829050669767867718469667282930
103 4 -50982840164508064806472286401407659419922825723720221086
103 3 -421046830336313094311603741487967286382514906025169744265882
103 2 3560284497563094785535893661743205433667312171303202586377700570
103 1 -3641495752884405980177591538323881766379563751245075636134346210203
103 0 160223450109758537490565786403494394042420471994612954690597013769832
102 7 -109876519038118300072001719
102 6 -1641458710294055988109026581755697718816
102 5 111325407032457110176195358903351613152267198985372
102 4 -53577504477211366593463520641881102415225293355067255058
102 3 -607818183290700163564156269548181349252556686485397969120250
102 2 4978659947464753714800438872575950093220868983057134917723136783
102 1 -4594959445620109433205677651101726364490359996096480937893110700849
102 0 372655824030825338897181279911487226623649273184906138319963333252440
101 7 -217134734053429362625760445
101 6 -785655315406941508754671674885594498038
101 5 90751724662987351593487444722400434062838450893977
101 4 -53966262600907298614081066206698369163839076464775066348
101 3 -830334463037164811474418990959854921024278612403780434170082
101 2 6741871093513548625272295335301481731499512138047200515350564319
101 1 -5496836620400386416624695860297694345761457008416313466128482999050
101 0 607112859254828827319704039376287117617702105219199691626597116177240
100 7 -383613689359068955728837570
100 6 -350322819646366372935318545106070604718
100 5 70406631461623281655940185944292615331008115016520
100 4 -52063941852058800742267250616698656471713946895790156202
100 3 -1079364485424268685003947449397066550928253193956766676795386
100 2 8849973934344218639882283318510649075053900520013608191413716968
100 1 -6224052337690457794393819901890283574124514240389492656564793016324
100 0 798806473016701605413705009252994492455977675637661762639316392830946
99 7 -606095741557213551661142055
99 6 -145275440424524915366315438408986284318
99 5 51940754459749812289278622222677515239156710576305
99 4 -48073606644327487738347325294384488874431412422601335334
99 3 -1339695937201100410585670784946953294622983894894214649064262
99 2 11267546183659392474021875120232510741275739635464312291722331169
99 1 -6654872460808932367638780947383206353660730860297967411609241660285
99 0 867279631682772529319776136668501247086326342574591012127962925907104
98 7 -856347147649012087707522870
98 6 -55917686502189703215437644328248033371
98 5 36405696262734879049714879582947702476563667556750
98 4 -42451597914603487324112602652482796134419681777429199656
98 3 -1591145339145225186467863690896551199406049193770366495199122
98 2 13914966794397404788132070935451823734962740346979656979339836881
98 1 -6693838572108122942643348286882500880210200933479844223967206068590
98 0 739791408209888533299978175337433418539759439710347980150979405893236
97 7 -1081530252389394407439658917
97 6 -19910388624080930820322535324580367569
97 5 24222556931112547619891164016838731629429542385327
97 4 -35821160674542899848916047264893518288082523099143797928
97 3 -1810848838948224924321269906197842791643016253647649492571752
97 2 16664293535318811260230145105700263437548248982659949714646728519
97 1 -6293224655954358994023242663804275603256863361461557697487576369777
97 0 379593187002444551935221433244396111955456520628154004413004810084056
96 7 -1220015136517024983050046145
96 6 -6478646153465489151967315183872912809
96 5 15285384423576182894740761135502954816139388875494
96 4 -28857333625101835157298415016033713850271741447574993416
96 3 -1976562334231411924340814436735120910562868544983574046659790
96 2 19342891055612869229776800877612906020705052301921000716779771128
96 1 -5464370876505641313139228825187823252423937029225450433929366498256
96 0 -191544812327380515000106744467351640017863393286124143173737061990870
95 7 -1227784021402434859171124505
95 6 -1789660081730781402828372439133844671
95 5 9140035611227565528237648773407667215856060139245
95 4 -22172816774517325841196699454436718147072154685512348822
95 3 -2070345851314356231837041269955877207265599775541410176717664
95 2 21746966242127174591613710265140160712882185318888224520425723566
95 1 -4275200966317447007663357532503047439448474465270042193962541213820
95 0 -887315508757227626734529010052086436947701851415527825390858918369944
94 7 -1100599000049609467360693425
94 6 -169033746124648143206535396727904622
94 5 5174129404520193727070533246639869969594244202006
94 4 -16231742753969375950127768704893590144194536193471877684
94 3 -2081791912069789284789000759930224255517885451210588993187374
94 2 23664925517705927631174170723108019470406187055024377797766050890
94 1 -2834789368060786685571883571008431055734253100370118718282700268767
94 0 -1573033052418380049315565011003338055861637252211065697280028790424684
93 7 -877048206142040718643069605
93 6 508318818145469007934738593228589781
93 5 2770387885220257792251745716022136889618742713043
93 4 -11307341162274702144021787292073614915326862545992371924
93 3 -2009985714595352680252046125629611262145958984650851030602430
93 2 24907480194957348991156731317125153760967232998713271176011182263
93 1 -1270194740901700934949899223266837465711226451052449802499262504733
93 0 -2100950831811639981728462856089564778727330389243935152280347502865376
92 7 -619787975495505873862252650
92 6 958784334681814254697307974374537803
92 5 1401673343624891277080743903993594693680532133934
92 4 -7485098487742072282982128552448578014381698982871771260
92 3 -1863675619905344940688108282989159583290096548222074423273008
92 2 25338695212702094224991933748235267622801028857293216631098696753
92 1 296911828359432653695494759943407861339851827828645789382663225402
92 0 -2353275601484144140335563406414025584615867039556407899617529099057214
91 7 -387263818188082704593164860
91 6 1376965404514169961026076498672796023
91 5 669479849584056704074430763211021365058548384875
91 4 -4700619139209113568600389807202197384919019938442417432
91 3 -1659601217300344791450249957282161973445523585318776358206562
91 2 24900835224862553914846812096379635050417580499298259593759784916
91 1 1766989814163022835744246931363067728807445789965333638698540694505
91 0 -2277368091304148868587031633316948501297934284073031877866219500106840
90 7 -213199938113509891301976645
90 6 1769436018761325489354596222937525632
90 5 301568296545984401656047491035502563080435447720
90 4 -2794812596515484664320139158030026414196798066940595484
90 3 -1419415224194222476101838402761611686460634731545871701088083
90 2 23626650796928427381225054503481621722595901301514410800721896162
90 1 3069222778328408052906882538137810497660487389671140427583839330343
90 0 -1900197113249605650202236943668363179701121925991352224489936556145640
89 7 -102985007544046207521455955
